Provinsi,Jumlah Total kendaraan,Jumlah Industri Besar,Emisi Karbon (MtCO2e)
Aceh,2426809,108498,69.92
Sumatera Utara,7339034,120914,76.54
Sumatera Barat,2656691,87884,35.34
Riau,4230607,46486,85.48
Jambi,2572804,32995,47.47
Sumatera Selatan,4019095,74056,78.73
Bengkulu,1127170,18789,20.44
Lampung,3921375,84533,61.76
Kepulauan Bangka Belitung,1160091,18873,12.42
Kepulauan Riau,1137520,17039,17.93
DKI Jakarta,21911811,55163,206.0
Jawa Barat,17600134,667795,336.57
Jawa Tengah,19534880,892108,157.97
DI Yogyakarta,3112170,123572,11.85
Jawa Timur,23605425,874497,262.98
Banten,2862515,102359,88.92
Bali,4626094,150466,11.65
Nusa Tenggara Barat,2007385,109227,17.74
Nusa Tenggara Timur,993662,168002,15.44
Kalimantan Barat,2903952,39124,53.76
Kalimantan Tengah,1553148,23952,57.82
Kalimantan Selatan,2881340,54528,46.31
Kalimantan Timur,3352990,26224,82.81
Kalimantan Utara,189091,5354,24.56
Sulawesi Utara,1054190,44308,14.37
Sulawesi Tengah,1315220,88579,24.13
Sulawesi Selatan,4680584,129679,38.7
Sulawesi Tenggara,1057376,44453,21.08
Gorontalo,490928,31103,5.98
Sulawesi Barat,393158,27892,15.74
Maluku,347614,33613,13.92
Maluku Utara,326767,16080,14.85
Papua Barat,376950,6273,22.77
Papua,493237,14504,74.75
