Provinsi,Mikro,Kecil
Aceh,108050,448
Sumatera Utara,117806,3108
Sumatera Barat,86129,1755
Riau,44623,1863
Jambi,32656,339
Sumatera Selatan,72707,1349
Bengkulu,18435,354
Lampung,82715,1818
Kepulauan Bangka Belitung,18756,423
Kepulauan Riau,16926,113
DKI Jakarta,45051,10112
Jawa Barat,632921,34874
Jawa Tengah,856144,35964
DI Yogyakarta,120731,2841
Jawa Timur,782131,92366
Banten,97303,5056
Bali,148133,2333
Nusa Tenggara Barat,98777,10450
Nusa Tenggara Timur,166792,1210
Kalimantan Barat,38561,563
Kalimantan Tengah,23359,593
Kalimantan Selatan,53646,882
Kalimantan Timur,25688,536
Kalimantan Utara,5221,133
Sulawesi Utara,44214,94
Sulawesi Tengah,86280,2299
Sulawesi Selatan,127221,2458
Sulawesi Tenggara,44220,233
Gorontalo,30542,561
Sulawesi Barat,27456,436
Maluku,33406,207
Maluku Utara,15977,103
Papua Barat,6118,155
Papua,14174,330
